id,host_listings_count,host_total_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
18900978,1,1,94102,37.77623194532099,-122.42321110011726,4,1,2,2,$250.00,1,2,7,8,14,14,14,19,99,10,10,10,10,10,9,1,1.29
18916029,1,1,94112,37.732752346452635,-122.4232375543569,3,1,1,2,$180.00,2,3,6,1,21,51,51,28,99,10,10,10,10,9,10,1,1.9
18916321,2,2,94131,37.74417433554521,-122.43257523874932,2,1.5,1,1,$112.00,1,2,7,4,15,44,133,66,99,10,10,10,10,10,10,2,4.23
18926777,2,2,94105,37.79003669282619,-122.3910313714429,2,1,1,1,$199.00,1,30,66,30,60,90,179,0,,,,,,,,2,
18928482,4,4,94116,37.741972734148064,-122.48418031949423,4,1.5,1,3,$76.00,2,2,28,3,18,18,18,57,98,10,10,10,10,9,10,4,3.88
18928857,355,355,,37.757867456164476,-122.41494103181135,4,1,2,0,$188.00,1,30,1125,1,9,39,314,1,100,10,10,10,10,10,10,156,0.14
18931048,2,2,94114,37.7639003081741,-122.43211049453274,2,1,0,1,$150.00,1,2,1125,5,21,51,326,67,98,10,10,10,10,10,10,2,4.52
18956166,1,1,94110,37.74091462488419,-122.4123550330098,8,2,4,6,$260.00,1,30,90,30,60,90,179,0,,,,,,,,1,
18957138,2,2,94123,37.7974786182585,-122.42894122805136,6,2.5,3,3,$550.00,6,2,90,5,10,27,101,25,98,10,10,10,10,10,9,2,1.83
18960282,2,2,94121,37.77497092842002,-122.49016059504918,2,1,1,1,$135.00,1,2,1125,4,32,60,73,31,99,10,10,10,10,10,10,2,4.1
18960888,1,1,94102,37.77417475425859,-122.4265740717099,6,1,2,3,$200.00,2,4,29,0,0,0,0,7,97,10,10,10,10,10,9,1,0.49
18971467,1,1,94117,37.77496158730544,-122.44017215420862,6,2.5,3,3,$990.00,6,4,21,5,11,35,35,12,98,10,10,10,10,10,9,1,0.79
18974834,2,2,94110,37.75682533933941,-122.40717236292541,4,1.5,3,3,$450.00,2,5,15,0,0,8,41,6,100,10,10,10,10,10,10,1,0.74
18981477,1,1,94115,37.792235633562306,-122.44228390927468,3,1,1,2,$199.00,2,2,30,4,11,19,19,38,99,10,10,10,10,10,10,1,7.4
18994064,1,1,94107,37.757434522399244,-122.39752698216219,2,1,1,1,$149.00,1,1,7,0,11,34,124,112,100,10,10,10,10,10,10,1,7.57
19015884,1,1,94110,37.746024122101396,-122.41634059349892,2,1,1,1,$145.00,2,2,1125,0,6,29,103,101,100,10,10,10,10,10,10,1,6.72
19019187,3,3,94115,37.790484195173434,-122.43025130629422,2,1,1,1,$150.00,1,2,90,0,0,0,0,7,96,10,10,10,10,10,10,3,0.62
19020541,1,1,94112,37.730336303122556,-122.42582633079387,2,1,0,0,$135.00,2,3,30,5,12,42,222,72,98,10,10,10,10,9,10,1,5
19020731,1,1,94117,37.77692411007928,-122.43950127560423,6,2,3,5,$440.00,6,7,29,0,0,0,0,4,100,10,10,10,10,9,10,1,0.29
19023994,47,47,94103,37.77900974035581,-122.40855364835424,2,1.5,1,1,$125.00,1,30,1125,0,0,0,267,1,100,10,10,10,10,10,10,42,0.26
19026673,10,10,94117,37.76472135868575,-122.45280250582555,1,3.5,1,2,$89.00,1,32,90,30,60,90,365,0,,,,,,,,9,
19029310,4,4,94103,37.78107506825379,-122.40922773178505,1,8,0,1,$60.00,1,30,1125,30,60,90,365,0,,,,,,,,4,
19033531,62,62,94108,37.79128233675566,-122.40864870840699,2,1,0,1,$120.00,1,30,1125,18,48,77,77,0,,,,,,,,59,
19035683,1,1,94118,37.77436651013764,-122.46951031400019,5,3,3,3,$485.00,1,5,1125,0,6,36,36,2,100,10,10,10,10,10,10,1,0.15
19038261,4,4,94103,37.78242509844231,-122.40961914459751,2,8,0,1,$60.00,1,30,1125,30,60,90,365,3,70,8,8,8,8,9,8,4,0.2
19039703,2,2,94118,37.77376223032178,-122.46377678087656,4,1,2,2,$169.00,4,1,28,5,20,50,50,99,93,10,10,10,9,10,9,2,6.51
19049907,1,1,94133,37.80279723947077,-122.41596657634535,1,1,0,1,$97.00,1,30,1125,30,60,90,365,0,,,,,,,,1,
19050152,1,1,94124,37.7350574425225,-122.38875938045913,2,1,1,1,$189.00,1,3,1125,4,13,43,318,38,98,10,10,10,10,9,10,1,2.59
19073405,2,2,94122,37.76185650380392,-122.48403278950038,2,1,1,1,$85.00,1,30,90,7,37,67,67,44,98,10,10,10,10,10,10,2,2.94
19086077,5,5,94107,37.76192783041651,-122.39613442052674,2,2,1,1,$120.00,1,5,1125,0,6,36,126,24,97,10,9,10,10,10,10,4,1.94
19089309,3,3,94117,37.771983340012625,-122.43146072161407,3,1,0,2,$132.00,2,1,6,2,17,47,115,46,98,10,10,10,10,10,10,3,6.6
19096360,2,2,94123,37.800265892737606,-122.42502870589954,2,1,1,1,$150.00,1,30,1125,0,0,0,259,1,,,,,,,,1,0.29
19101632,1,1,94112,37.718734132548015,-122.45008066550828,4,1,2,3,$175.00,3,3,60,1,20,50,50,65,96,10,10,10,10,9,9,1,4.38
19105532,2,2,94131,37.74864948809521,-122.43385577984202,4,1,2,2,$250.00,2,30,1125,7,36,65,338,4,100,10,10,10,10,10,10,2,0.31
19119633,62,62,94108,37.79231815333282,-122.40754549899358,3,1,1,1,$140.00,1,30,1125,0,0,21,21,2,100,10,10,10,10,10,8,59,0.28
19121342,2,2,94117,37.76994292637433,-122.45329419678116,2,1,1,1,$80.00,1,3,28,0,0,0,0,7,100,10,10,10,10,10,10,2,0.48
19124855,1,1,94107,37.75358519886396,-122.39844658240426,2,1,1,1,$90.00,1,30,365,18,48,78,168,32,92,10,9,10,10,10,9,1,2.16
