id,host_total_listings_count,longitude,accommodates,price,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
2665028,1,-122.41081244540335,2,$180.00,95,0,28,99,10,10,10,10,10,10,1,0.56
2670951,4,-122.45908202519182,6,$395.00,365,189,194,98,10,10,10,10,9,10,3,3.72
2677273,1,-122.47691623053069,4,$180.00,1125,263,87,97,10,10,10,10,10,10,1,1.65
2677288,1,-122.43239966380965,2,$99.00,1125,298,270,97,10,10,10,10,10,10,1,5.12
2683857,1,-122.4933143631641,6,$280.00,27,7,28,95,10,10,10,10,9,9,1,0.55
2686530,2,-122.41799285267265,1,$108.00,28,204,49,98,10,10,10,10,10,10,2,0.91
2694526,6,-122.45866920854755,2,$125.00,1125,344,144,96,10,10,10,10,10,9,5,2.68
2701658,1,-122.42019867785558,3,$110.00,28,34,118,98,10,10,10,10,9,10,1,2.22
2702606,1,-122.39673559075311,1,$194.00,30,365,0,,,,,,,,1,
2706776,2,-122.43596062249941,2,$188.00,31,312,47,98,10,10,10,10,10,10,1,0.93
2707422,1,-122.42415774003302,2,$184.00,10,0,17,99,10,10,10,10,10,10,1,0.32
2707494,4,-122.43362237691042,4,$170.00,1125,244,6,100,10,10,10,10,10,10,4,0.14
2723005,3,-122.42054818976818,6,$585.00,8,25,36,99,10,10,10,10,10,9,1,0.73
2736358,1,-122.44482720597567,3,$185.00,1125,215,234,96,10,9,10,10,10,9,1,4.44
2737894,4,-122.43524065545094,2,$80.00,30,0,22,95,10,9,10,10,10,9,4,0.42
2738331,1,-122.45000367362442,2,$99.00,99,288,120,92,10,10,10,10,9,9,1,2.38
2739477,4,-122.43384011329168,6,$425.00,90,257,130,98,10,9,10,10,10,9,2,2.49
2742151,3,-122.44307797242031,5,$240.00,14,324,76,94,9,9,10,10,9,9,1,1.45
2747383,1,-122.50849597730638,5,$295.00,1125,314,99,95,10,10,10,10,9,9,1,1.85
2756856,1,-122.43033275480461,2,$99.00,10000,108,341,97,10,10,10,10,10,9,2,6.37
2764137,1,-122.40736898854689,6,$190.00,365,293,123,94,10,10,10,10,9,9,1,2.31
2770268,2,-122.39659633845021,2,$100.00,365,341,156,93,9,9,10,10,9,9,2,2.91
2770561,2,-122.39371186148453,2,$80.00,365,328,117,94,10,9,10,10,10,9,2,2.2
2771128,1,-122.43112343866878,2,$220.00,30,136,132,96,10,10,10,10,10,9,1,2.49
2771688,1,-122.41765884005434,4,$110.00,1125,94,137,92,9,9,10,10,9,9,1,2.56
2783251,1,-122.41870811557482,2,$185.00,21,92,168,97,10,10,10,10,10,10,1,3.14
2783665,3,-122.39711728768607,4,"$1,250.00",1125,160,0,,,,,,,,3,
2790637,1,-122.40263614426102,3,$210.00,31,236,42,100,10,10,10,10,10,9,1,0.81
2802418,1,-122.49900821237689,2,$109.00,1125,323,216,95,10,10,10,10,9,9,1,4.08
2802480,1,-122.4442992947369,4,$425.00,1125,294,37,94,10,10,10,10,10,9,1,0.71
2804417,3,-122.39774521142412,2,$220.00,1125,362,12,98,10,10,10,10,9,9,3,0.27
2816626,1,-122.44811666908116,6,$350.00,1125,243,9,100,10,10,10,10,10,10,1,0.18
2823227,2,-122.40635591551352,2,$195.00,1124,306,32,96,10,10,10,10,10,10,1,0.99
2825966,1,-122.44847984237545,2,$169.00,365,323,76,94,10,10,10,10,10,9,1,1.55
2887744,2,-122.44295145304217,8,$600.00,30,166,162,99,10,10,10,10,10,10,2,3.24
2890120,1,-122.42093167221657,4,$275.00,1125,0,28,96,10,9,10,10,10,10,1,0.54
2893920,1,-122.40886812417232,2,$222.00,76,87,12,96,10,9,10,10,10,9,1,0.23
2904128,1,-122.41300145703646,4,$175.00,28,0,14,99,10,9,10,10,10,10,1,0.28
2910483,1,-122.40719660358708,2,$85.00,360,342,5,100,10,10,10,10,9,8,1,0.11
2925557,4,-122.43636852305654,4,$300.00,1125,239,51,97,10,10,10,10,10,9,4,0.99
2926901,68,-122.40944575364344,4,$179.00,15,0,44,98,10,10,10,10,10,10,29,0.83
2927103,1,-122.40264567693961,2,$195.00,1200,359,16,95,10,10,10,10,8,9,1,0.32
2927781,2,-122.41756192514852,2,$189.00,4,294,132,99,10,10,10,10,9,10,2,2.5
2931587,33,-122.39024968944823,4,$215.00,365,316,2,60,7,7,6,7,6,5,29,0.04
2933105,2,-122.43198795656389,2,$110.00,1125,36,141,98,10,10,10,10,10,10,2,2.69
2933899,68,-122.41098168635826,4,$180.00,1125,0,24,98,10,10,10,10,10,10,29,0.45
2935400,32,-122.40881676227798,2,$91.00,1125,109,6,97,9,9,9,10,10,9,8,0.13
2937902,68,-122.41054680888364,4,$180.00,1125,0,18,100,10,10,10,10,10,10,29,0.36
2939849,3,-122.4387273886802,1,$99.00,1125,49,15,99,9,9,10,10,10,9,3,0.3
2942149,2,-122.43635414310374,6,$350.00,1125,277,88,98,10,10,10,10,9,10,2,1.91
2943327,68,-122.4114781284304,4,$180.00,15,0,19,95,10,10,10,10,10,9,29,0.36
2944266,1,-122.41025467352736,4,$225.00,28,0,9,98,10,10,10,10,10,9,1,0.8
2944843,1,-122.49495968142115,3,$100.00,29,134,343,97,10,10,10,10,10,10,1,6.5
2948159,1,-122.4418756252383,3,$285.00,30,243,40,98,10,10,10,10,10,10,1,0.8
2949071,1,-122.47082058753831,5,$150.00,1125,281,4,93,10,10,10,10,9,10,1,0.08
2950592,1,-122.45233204728324,6,$395.00,28,77,10,100,10,10,10,10,9,9,1,1.78
